,Date,Terms,Borrowed,Offered,Cut Rat,Avg Rate
1,2019-04-02,1 неделя,1788.7,1788.7,7.75,7.72
2,2019-03-26,1 неделя,1680.0,1756.3,7.74,7.72
3,2019-03-19,1 неделя,1970.0,2245.0,7.74,7.73
4,2019-03-12,1 неделя,1818.9,1818.9,7.75,7.73
5,2019-03-05,1 неделя,1827.4,1827.4,7.75,7.73
10,2019-02-26,1 неделя,1811.6,1811.6,7.75,7.74
11,2019-02-19,1 неделя,1765.2,1765.2,7.75,7.73
13,2019-02-12,1 неделя,1720.3,1720.3,7.75,7.74
14,2019-02-05,1 неделя,1198.0,1198.0,7.75,7.73
17,2019-01-29,1 неделя,1300.2,1300.2,7.75,7.73
18,2019-01-22,1 неделя,9937.0,9937.0,7.75,7.72
19,2019-01-15,1 неделя,1240.1,1240.1,7.75,7.73
20,2019-01-09,1 неделя,1296.0,1296.0,7.75,7.73
22,2018-12-25,1 неделя,1229.1,1229.1,7.75,7.7
23,2018-12-18,1 неделя,1403.2,1403.2,7.75,7.72
24,2018-12-11,1 неделя,1444.7,1444.7,7.5,7.47
25,2018-12-04,1 неделя,1330.0,1521.8,7.48,7.46
29,2018-11-27,1 неделя,1358.9,1358.9,7.5,7.47
30,2018-11-20,1 неделя,1636.0,1636.0,7.5,7.46
32,2018-11-13,1 неделя,1692.3,1692.3,7.5,7.47
33,2018-11-06,1 неделя,1608.8,1608.8,7.5,7.46
36,2018-10-30,1 неделя,1950.0,2230.8,7.48,7.46
37,2018-10-23,1 неделя,1680.0,1938.1,7.49,7.46
38,2018-10-16,1 неделя,1893.0,1893.0,7.5,7.48
39,2018-10-09,1 неделя,1630.0,1775.4,7.49,7.47
