EPFR_DATES;PRITOK;OTTOK
29.03.2019;;57000000
13.03.2019;;140000000
06.03.2019;;91000000
27.02.2019;;21000000
20.02.2019;;136000000
13.02.2019;43200000;
06.02.2019;194000000;
16.01.2019;210000000;
21.11.2018;;90000000,00
14.11.2018;;11200000,00
07.11.2018;61500000;
24.10.2018;;35000000,00
17.10.2018;;130000000,00
10.10.2018;;205000000,00
03.10.2018;;28000000,00
26.09.2018;;92800000,00
19.09.2018;;114000000,00
12.09.2018;;215000000,00
05.09.2018;;67900000,00
29.08.2018;;34100000,00
22.08.2018;;50000000,00
15.08.2018;;80000000,00
08.08.2018;;25000000,00
01.08.2018;;40000000,00
25.07.2018;;66000000,00
18.07.2018;;66600000,00
11.07.2018;83500000;
04.07.2018;40000000;
20.06.2018;;462000000,00
13.06.2018;;270000000,00
30.05.2018;;242000000,00
23.05.2018;;250000000,00
16.05.2018;;143000000,00
09.05.2018;;224000000,00
02.05.2018;;108000000,00
25.04.2018;8000000;
18.04.2018;227000000;
11.04.2018;160000000;
04.04.2018;;30700000,00
28.03.2018;;73900000,00
21.03.2018;59900000;
14.03.2018;140000000;
07.03.2018;112000000;
28.02.2018;111000000;
14.02.2018;;94500000,00
07.02.2018;;71600000,00
31.01.2018;260000000;
24.01.2018;99600000;
17.01.2018;530000000;
03.01.2018;40000000;
