,<DATE>,<CLOSE>
0,2019-01-04,4260.96
1,2019-01-08,4247.23
2,2019-01-09,4298.43
3,2019-01-10,4340.59
4,2019-01-11,4374.97
5,2019-01-14,4369.28
6,2019-01-15,4387.01
7,2019-01-16,4391.36
8,2019-01-17,4419.48
9,2019-01-18,4482.97
10,2019-01-21,4491.23
11,2019-01-22,4482.8
12,2019-01-23,4525.92
13,2019-01-24,4496.11
14,2019-01-25,4493.94
15,2019-01-28,4446.8
16,2019-01-29,4493.36
17,2019-01-30,4511.15
18,2019-01-31,4534.01
19,2019-02-01,4538.41
20,2019-02-04,4528.0
21,2019-02-05,4557.95
22,2019-02-06,4541.36
23,2019-02-07,4481.32
24,2019-02-08,4485.13
25,2019-02-11,4502.72
26,2019-02-12,4535.58
27,2019-02-13,4446.87
28,2019-02-14,4374.58
29,2019-02-15,4428.52
30,2019-02-18,4410.38
31,2019-02-19,4380.66
32,2019-02-20,4428.34
33,2019-02-21,4387.33
34,2019-02-22,4417.02
35,2019-02-25,4431.27
36,2019-02-26,4431.1
37,2019-02-27,4422.56
38,2019-02-28,4420.83
39,2019-03-01,4427.02
40,2019-03-04,4403.65
41,2019-03-05,4383.08
42,2019-03-06,4433.33
43,2019-03-07,4419.04
44,2019-03-11,4396.76
45,2019-03-12,4408.68
46,2019-03-13,4420.89
47,2019-03-14,4398.87
48,2019-03-15,4434.13
49,2019-03-18,4445.98
50,2019-03-19,4458.22
51,2019-03-20,4477.11
52,2019-03-21,4466.5
53,2019-03-22,4430.44
54,2019-03-25,4459.17
55,2019-03-26,4482.14
56,2019-03-27,4437.26
57,2019-03-28,4430.95
58,2019-03-29,4430.26
59,2019-04-01,4496.63
60,2019-04-02,4504.47
61,2019-04-03,4519.56
62,2019-04-04,4517.51
