date,open,high,low,close
2018-04-04,7.11,7.11,7.11,7.11
2018-04-05,7.08,7.08,7.08,7.08
2018-04-06,7.07,7.07,7.07,7.07
2018-04-09,7.06,7.06,7.06,7.06
2018-04-10,7.09,7.09,7.09,7.09
2018-04-11,7.09,7.09,7.09,7.09
2018-04-12,7.05,7.05,7.05,7.05
2018-04-13,6.99,6.99,6.99,6.99
2018-04-16,7.03,7.03,7.03,7.03
2018-04-17,7.06,7.06,7.06,7.06
2018-04-18,7.03,7.03,7.03,7.03
2018-04-19,7.04,7.04,7.04,7.04
2018-04-20,7.05,7.05,7.05,7.05
2018-04-23,7.02,7.02,7.02,7.02
2018-04-24,7.02,7.02,7.02,7.02
2018-04-25,7.04,7.04,7.04,7.04
2018-04-26,7.05,7.05,7.05,7.05
2018-04-27,7.22,7.22,7.22,7.22
2018-04-28,6.85,6.85,6.85,6.85
2018-04-30,7.11,7.11,7.11,7.11
2018-05-02,7.54,7.54,7.54,7.54
2018-05-03,7.17,7.17,7.17,7.17
2018-05-04,7.06,7.06,7.06,7.06
2018-05-07,7.08,7.08,7.08,7.08
2018-05-08,6.97,6.97,6.97,6.97
2018-05-10,6.98,6.98,6.98,6.98
2018-05-11,6.98,6.98,6.98,6.98
2018-05-14,6.99,6.99,6.99,6.99
2018-05-15,7.05,7.05,7.05,7.05
2018-05-16,7.05,7.05,7.05,7.05
2018-05-17,7.09,7.09,7.09,7.09
2018-05-18,7.13,7.13,7.13,7.13
2018-05-21,7.11,7.11,7.11,7.11
2018-05-22,7.09,7.09,7.09,7.09
2018-05-23,7.13,7.13,7.13,7.13
2018-05-24,7.09,7.09,7.09,7.09
2018-05-25,7.07,7.07,7.07,7.07
2018-05-28,7.07,7.07,7.07,7.07
2018-05-29,7.09,7.09,7.09,7.09
2018-05-30,7.12,7.12,7.12,7.12
2018-05-31,7.18,7.18,7.18,7.18
2018-06-01,7.08,7.08,7.08,7.08
2018-06-04,7.09,7.09,7.09,7.09
2018-06-05,6.95,6.95,6.95,6.95
2018-06-06,7.01,7.01,7.01,7.01
2018-06-07,7.16,7.16,7.16,7.16
2018-06-08,7.09,7.09,7.09,7.09
2018-06-09,6.56,6.56,6.56,6.56
2018-06-11,6.86,6.86,6.86,6.86
2018-06-13,7.06,7.06,7.06,7.06
2018-06-14,7.07,7.07,7.07,7.07
2018-06-15,7.05,7.05,7.05,7.05
2018-06-18,7.07,7.07,7.07,7.07
2018-06-19,7.07,7.07,7.07,7.07
2018-06-20,7.17,7.17,7.17,7.17
2018-06-21,7.05,7.05,7.05,7.05
2018-06-22,0.7,0.7,0.7,0.7
2018-06-25,7.14,7.14,7.14,7.14
2018-06-26,7.27,7.27,7.27,7.27
2018-06-27,7.07,7.07,7.07,7.07
2018-06-28,7.07,7.07,7.07,7.07
2018-06-29,7.19,7.19,7.19,7.19
2018-07-02,7.1,7.1,7.1,7.1
2018-07-03,7.02,7.02,7.02,7.02
2018-07-04,7.03,7.03,7.03,7.03
2018-07-05,7.06,7.06,7.06,7.06
2018-07-06,7.1,7.1,7.1,7.1
2018-07-09,7.04,7.04,7.04,7.04
2018-07-10,0.7,0.7,0.7,0.7
2018-07-11,7.09,7.09,7.09,7.09
2018-07-12,7.08,7.08,7.08,7.08
2018-07-13,7.1,7.1,7.1,7.1
2018-07-16,7.1,7.1,7.1,7.1
2018-07-17,7.16,7.16,7.16,7.16
2018-07-18,7.12,7.12,7.12,7.12
2018-07-19,7.13,7.13,7.13,7.13
2018-07-20,7.14,7.14,7.14,7.14
2018-07-23,7.09,7.09,7.09,7.09
2018-07-24,7.01,7.01,7.01,7.01
2018-07-25,7.01,7.01,7.01,7.01
2018-07-26,7.04,7.04,7.04,7.04
2018-07-27,7.16,7.16,7.16,7.16
2018-07-30,7.44,7.44,7.44,7.44
2018-07-31,7.72,7.72,7.72,7.72
2018-08-01,7.23,7.23,7.23,7.23
2018-08-02,7.06,7.06,7.06,7.06
2018-08-03,0.7,0.7,0.7,0.7
2018-08-06,6.97,6.97,6.97,6.97
2018-08-07,6.92,6.92,6.92,6.92
2018-08-08,6.98,6.98,6.98,6.98
2018-08-09,7.11,7.11,7.11,7.11
2018-08-10,7.14,7.14,7.14,7.14
2018-08-13,7.13,7.13,7.13,7.13
2018-08-14,7.14,7.14,7.14,7.14
2018-08-15,7.08,7.08,7.08,7.08
2018-08-16,7.09,7.09,7.09,7.09
2018-08-17,7.04,7.04,7.04,7.04
2018-08-20,7.02,7.02,7.02,7.02
2018-08-21,6.97,6.97,6.97,6.97
2018-08-22,6.88,6.88,6.88,6.88
2018-08-23,6.94,6.94,6.94,6.94
2018-08-24,6.91,6.91,6.91,6.91
2018-08-27,6.93,6.93,6.93,6.93
2018-08-28,7.18,7.18,7.18,7.18
2018-08-29,7.07,7.07,7.07,7.07
2018-08-30,7.05,7.05,7.05,7.05
2018-08-31,7.04,7.04,7.04,7.04
2018-09-03,7.05,7.05,7.05,7.05
2018-09-04,7.14,7.14,7.14,7.14
2018-09-05,7.14,7.14,7.14,7.14
2018-09-06,7.09,7.09,7.09,7.09
2018-09-07,7.11,7.11,7.11,7.11
2018-09-10,7.07,7.07,7.07,7.07
2018-09-11,7.1,7.1,7.1,7.1
2018-09-12,7.09,7.09,7.09,7.09
2018-09-13,7.12,7.12,7.12,7.12
2018-09-14,7.12,7.12,7.12,7.12
2018-09-17,7.31,7.31,7.31,7.31
2018-09-18,7.3,7.3,7.3,7.3
2018-09-19,7.26,7.26,7.26,7.26
2018-09-20,7.25,7.25,7.25,7.25
2018-09-21,7.27,7.27,7.27,7.27
2018-09-24,7.3,7.3,7.3,7.3
2018-09-25,7.28,7.28,7.28,7.28
2018-09-26,7.41,7.41,7.41,7.41
2018-09-27,7.43,7.43,7.43,7.43
2018-09-28,7.45,7.45,7.45,7.45
2018-10-01,7.36,7.36,7.36,7.36
2018-10-02,7.34,7.34,7.34,7.34
2018-10-03,7.35,7.35,7.35,7.35
2018-10-04,7.38,7.38,7.38,7.38
2018-10-05,7.41,7.41,7.41,7.41
2018-10-08,7.43,7.43,7.43,7.43
2018-10-09,7.39,7.39,7.39,7.39
2018-10-10,7.35,7.35,7.35,7.35
2018-10-11,7.35,7.35,7.35,7.35
2018-10-12,7.39,7.39,7.39,7.39
2018-10-15,7.4,7.4,7.4,7.4
2018-10-16,7.41,7.41,7.41,7.41
2018-10-17,7.34,7.34,7.34,7.34
2018-10-18,7.36,7.36,7.36,7.36
2018-10-19,7.32,7.32,7.32,7.32
2018-10-22,7.35,7.35,7.35,7.35
2018-10-23,7.24,7.24,7.24,7.24
2018-10-24,7.21,7.21,7.21,7.21
2018-10-25,7.22,7.22,7.22,7.22
2018-10-26,7.25,7.25,7.25,7.25
2018-10-29,7.24,7.24,7.24,7.24
2018-10-30,7.21,7.21,7.21,7.21
2018-10-31,7.2,7.2,7.2,7.2
2018-11-01,7.06,7.06,7.06,7.06
2018-11-02,7.14,7.14,7.14,7.14
2018-11-06,7.25,7.25,7.25,7.25
2018-11-07,7.37,7.37,7.37,7.37
2018-11-08,7.32,7.32,7.32,7.32
2018-11-09,7.32,7.32,7.32,7.32
2018-11-12,7.32,7.32,7.32,7.32
2018-11-13,7.37,7.37,7.37,7.37
2018-11-14,7.36,7.36,7.36,7.36
2018-11-15,7.3,7.3,7.3,7.3
2018-11-16,7.21,7.21,7.21,7.21
2018-11-19,7.28,7.28,7.28,7.28
2018-11-20,7.23,7.23,7.23,7.23
2018-11-21,7.23,7.23,7.23,7.23
2018-11-22,7.24,7.24,7.24,7.24
2018-11-23,7.21,7.21,7.21,7.21
2018-11-26,7.31,7.31,7.31,7.31
2018-11-27,7.48,7.48,7.48,7.48
2018-11-28,7.42,7.42,7.42,7.42
2018-11-29,7.37,7.37,7.37,7.37
2018-11-30,7.37,7.37,7.37,7.37
2018-12-03,7.37,7.37,7.37,7.37
2018-12-04,7.29,7.29,7.29,7.29
2018-12-05,7.34,7.34,7.34,7.34
2018-12-06,7.36,7.36,7.36,7.36
2018-12-07,7.37,7.37,7.37,7.37
2018-12-10,7.38,7.38,7.38,7.38
2018-12-11,7.41,7.41,7.41,7.41
2018-12-12,7.38,7.38,7.38,7.38
2018-12-13,7.37,7.37,7.37,7.37
2018-12-14,7.39,7.39,7.39,7.39
2018-12-17,7.56,7.56,7.56,7.56
2018-12-18,7.58,7.58,7.58,7.58
2018-12-19,7.59,7.59,7.59,7.59
2018-12-20,7.58,7.58,7.58,7.58
2018-12-21,7.58,7.58,7.58,7.58
2018-12-24,7.55,7.55,7.55,7.55
2018-12-25,7.59,7.59,7.59,7.59
2018-12-26,7.6,7.6,7.6,7.6
2018-12-27,7.59,7.59,7.59,7.59
2018-12-28,7.73,7.73,7.73,7.73
2018-12-29,7.26,7.26,7.26,7.26
2019-01-03,7.12,7.12,7.12,7.12
2019-01-04,7.13,7.13,7.13,7.13
2019-01-08,7.55,7.55,7.55,7.55
2019-01-09,7.54,7.54,7.54,7.54
2019-01-10,7.52,7.52,7.52,7.52
2019-01-11,7.44,7.44,7.44,7.44
2019-01-14,7.4,7.4,7.4,7.4
2019-01-15,7.45,7.45,7.45,7.45
2019-01-16,7.46,7.46,7.46,7.46
2019-01-17,7.48,7.48,7.48,7.48
2019-01-18,7.47,7.47,7.47,7.47
2019-01-21,7.54,7.54,7.54,7.54
2019-01-22,7.62,7.62,7.62,7.62
2019-01-23,7.62,7.62,7.62,7.62
2019-01-24,7.61,7.61,7.61,7.61
2019-01-25,7.63,7.63,7.63,7.63
2019-01-28,7.63,7.63,7.63,7.63
2019-01-29,7.72,7.72,7.72,7.72
2019-01-30,7.72,7.72,7.72,7.72
2019-01-31,7.7,7.7,7.7,7.7
2019-02-01,7.63,7.63,7.63,7.63
2019-02-04,7.56,7.56,7.56,7.56
2019-02-05,7.6,7.6,7.6,7.6
2019-02-06,7.56,7.56,7.56,7.56
2019-02-07,7.59,7.59,7.59,7.59
2019-02-08,7.59,7.59,7.59,7.59
2019-02-11,7.58,7.58,7.58,7.58
2019-02-12,7.58,7.58,7.58,7.58
2019-02-13,7.54,7.54,7.54,7.54
2019-02-14,7.44,7.44,7.44,7.44
2019-02-15,7.41,7.41,7.41,7.41
2019-02-18,7.49,7.49,7.49,7.49
2019-02-19,7.41,7.41,7.41,7.41
2019-02-20,7.48,7.48,7.48,7.48
2019-02-21,7.38,7.38,7.38,7.38
2019-02-22,7.27,7.27,7.27,7.27
2019-02-25,7.34,7.34,7.34,7.34
2019-02-26,7.42,7.42,7.42,7.42
2019-02-27,7.43,7.43,7.43,7.43
2019-02-28,7.53,7.53,7.53,7.53
2019-03-01,7.57,7.57,7.57,7.57
2019-03-04,7.52,7.52,7.52,7.52
2019-03-05,7.49,7.49,7.49,7.49
2019-03-06,7.49,7.49,7.49,7.49
2019-03-07,7.54,7.54,7.54,7.54
2019-03-11,7.52,7.52,7.52,7.52
2019-03-12,7.49,7.49,7.49,7.49
2019-03-13,7.46,7.46,7.46,7.46
2019-03-14,7.4,7.4,7.4,7.4
2019-03-15,7.35,7.35,7.35,7.35
2019-03-18,7.35,7.35,7.35,7.35
2019-03-19,7.36,7.36,7.36,7.36
2019-03-20,7.38,7.38,7.38,7.38
2019-03-21,7.37,7.37,7.37,7.37
2019-03-22,7.41,7.41,7.41,7.41
2019-03-25,7.49,7.49,7.49,7.49
2019-03-26,7.55,7.55,7.55,7.55
2019-03-27,7.54,7.54,7.54,7.54
2019-03-28,7.49,7.49,7.49,7.49
2019-03-29,7.59,7.59,7.59,7.59
2019-04-01,7.55,7.55,7.55,7.55
2019-04-02,7.57,7.57,7.57,7.57
2019-04-03,7.48,7.48,7.48,7.48
